Tarih,Sube,Musteri_ID,Urun_Kategorisi,Urun_Adi,Miktar,Birim_Fiyat,Toplam_Tutar,Musteri_Tipi,Odeme_Yontemi
2024-09-11,Üsküdar,M0077,İçecek,Espresso,8,44.95,359.6,Misafir,Yemek Kartı
2024-09-12,Üsküdar,M0101,Dondurma,Çikolatalı Top,5,47.47,213.62,Üye,Yemek Kartı
2024-09-14,Üsküdar,M0065,Dondurma,Vanilya Cone,4,45.46,163.66,Üye,Nakit
2024-09-15,Bakırköy,M0012,İçecek,Filtre Kahve,2,58.61,117.22,Misafir,Nakit
2024-09-15,Kadıköy,M0094,Pasta,Cheesecake,8,293.5,2113.2,Üye,Banka Kartı
2024-09-16,Beşiktaş,M0139,İçecek,Latte,3,83.23,224.72,Üye,Nakit
2024-09-16,Üsküdar,M0095,Kek,Limonlu Kek,5,103.95,467.78,Üye,Banka Kartı
2024-09-16,Şişli,M0164,Kek,Limonlu Kek,7,108.94,686.32,Üye,Kredi Kartı
2024-09-17,Şişli,M0099,Dondurma,Çikolatalı Top,8,44.94,323.57,Üye,Kredi Kartı
2024-09-18,Bakırköy,M0024,Kurabiye,Beyaz Çikolatalı,2,27.2,54.4,Misafir,Kredi Kartı
2024-09-19,Kadıköy,M0007,Dondurma,Vanilya Cone,4,45.6,182.4,Misafir,Yemek Kartı
2024-09-19,Beşiktaş,M0116,İçecek,Espresso,3,42.81,128.43,Misafir,Kredi Kartı
2024-09-20,Beşiktaş,M0160,Kek,Limonlu Kek,7,94.69,662.83,Misafir,Yemek Kartı
2024-09-23,Bakırköy,M0061,Kurabiye,Yulaflı Kurabiye,8,17.31,138.48,Misafir,Banka Kartı
2024-09-25,Beşiktaş,M0018,Pasta,Yaş Pasta,1,326.37,293.73,Üye,Kredi Kartı
2024-09-27,Şişli,M0197,Kek,Havuçlu Kek,2,118.36,236.72,Misafir,Banka Kartı
2024-09-28,Üsküdar,M0061,Kurabiye,Yulaflı Kurabiye,6,19.91,107.51,Üye,Nakit
2024-10-05,Kadıköy,M0079,Kurabiye,Yulaflı Kurabiye,3,17.29,46.68,Üye,Banka Kartı
2024-10-05,Bakırköy,M0168,İçecek,Filtre Kahve,4,54.43,195.95,Üye,Banka Kartı
2024-10-05,Üsküdar,M0151,Pasta,Cheesecake,6,238.88,1289.95,Üye,Kredi Kartı
2024-10-06,Şişli,M0079,İçecek,Filtre Kahve,2,54.94,109.88,Misafir,Yemek Kartı
2024-10-06,Şişli,M0143,İçecek,Sıcak Çikolata,4,78.11,312.44,Misafir,Banka Kartı
2024-10-06,Kadıköy,M0163,Kurabiye,Çikolatalı Kurabiye,7,21.37,149.59,Misafir,Nakit
2024-10-07,Bakırköy,M0164,Kurabiye,Beyaz Çikolatalı,8,28.2,203.04,Üye,Banka Kartı
2024-10-08,Kadıköy,M0183,İçecek,Sıcak Çikolata,4,77.68,279.65,Üye,Banka Kartı
2024-10-08,Beşiktaş,M0198,Dondurma,Vanilya Cone,6,40.52,218.81,Üye,Yemek Kartı
2024-10-11,Kadıköy,M0159,Dondurma,Çikolatalı Top,3,44.37,133.11,Misafir,Nakit
2024-10-13,Bakırköy,M0191,İçecek,Filtre Kahve,7,54.05,340.52,Üye,Kredi Kartı
2024-10-15,Kadıköy,M0156,Dondurma,Meyveli Bardak,5,70.24,316.08,Üye,Nakit
2024-10-15,Kadıköy,M0187,Kek,Çikolatalı Kek,3,128.22,346.19,Üye,Yemek Kartı
2024-10-16,Bakırköy,M0005,İçecek,Filtre Kahve,1,52.19,52.19,Misafir,Nakit
2024-10-18,Kadıköy,M0169,Kek,Çikolatalı Kek,1,126.6,126.6,Misafir,Banka Kartı
2024-10-18,Kadıköy,M0186,Dondurma,Meyveli Bardak,6,63.1,378.6,Misafir,Yemek Kartı
2024-10-19,Üsküdar,M0025,Dondurma,Vanilya Cone,8,45.52,327.74,Üye,Nakit
2024-10-20,Üsküdar,M0030,Kurabiye,Çikolatalı Kurabiye,6,25.52,153.12,Misafir,Kredi Kartı
2024-10-20,Beşiktaş,M0140,İçecek,Espresso,1,50.1,50.1,Misafir,Kredi Kartı
2024-10-23,Beşiktaş,M0018,Pasta,Mille Feuille,6,178.21,962.33,Üye,Yemek Kartı
2024-10-25,Bakırköy,M0194,İçecek,Latte,3,85.67,231.31,Üye,Nakit
2024-10-25,Kadıköy,M0080,İçecek,Espresso,7,43.79,275.88,Üye,Yemek Kartı
2024-10-25,Bakırköy,M0117,Pasta,Mille Feuille,1,169.32,169.32,Misafir,Nakit
2024-10-28,Üsküdar,M0059,Kurabiye,Beyaz Çikolatalı,4,25.54,91.94,Üye,Nakit
2024-10-29,Bakırköy,M0144,Pasta,Yaş Pasta,2,312.8,563.04,Üye,Kredi Kartı
2024-11-01,Şişli,M0126,Kek,Havuçlu Kek,4,104.05,416.2,Misafir,Kredi Kartı
2024-11-02,Şişli,M0062,Dondurma,Vanilya Cone,2,46.61,93.22,Misafir,Nakit
2024-11-02,Beşiktaş,M0024,Dondurma,Meyveli Bardak,6,67.95,366.93,Üye,Kredi Kartı
2024-11-02,Üsküdar,M0088,Kurabiye,Çikolatalı Kurabiye,5,25.11,125.55,Misafir,Banka Kartı
2024-11-02,Bakırköy,M0180,Kek,Limonlu Kek,7,105.46,738.22,Misafir,Nakit
2024-11-04,Bakırköy,M0187,Kurabiye,Beyaz Çikolatalı,8,27.61,198.79,Üye,Banka Kartı
2024-11-05,Üsküdar,M0116,Kek,Limonlu Kek,6,94.15,564.9,Misafir,Yemek Kartı
2024-11-06,Şişli,M0161,Kurabiye,Beyaz Çikolatalı,4,29.23,105.23,Üye,Nakit
2024-11-06,Şişli,M0196,Dondurma,Meyveli Bardak,8,70.1,504.72,Üye,Kredi Kartı
2024-11-07,Şişli,M0087,Pasta,Cheesecake,5,277.35,1386.75,Misafir,Banka Kartı
2024-11-08,Kadıköy,M0106,Dondurma,Çikolatalı Top,4,48.78,175.61,Üye,Yemek Kartı
2024-11-09,Üsküdar,M0068,Pasta,Tiramisu,2,228.31,410.96,Üye,Nakit
2024-11-10,Üsküdar,M0116,Kek,Limonlu Kek,8,106.27,765.14,Üye,Kredi Kartı
2024-11-10,Bakırköy,M0094,İçecek,Filtre Kahve,2,59.05,118.1,Misafir,Kredi Kartı
2024-11-10,Üsküdar,M0145,Pasta,Cheesecake,3,247.59,742.77,Misafir,Nakit
2024-11-10,Beşiktaş,M0115,Kurabiye,Çikolatalı Kurabiye,2,21.75,39.15,Üye,Nakit
2024-11-10,Kadıköy,M0053,Dondurma,Meyveli Bardak,7,64.94,409.12,Üye,Banka Kartı
2024-11-11,Üsküdar,M0083,Dondurma,Çikolatalı Top,7,50.76,355.32,Misafir,Kredi Kartı
2024-11-11,Bakırköy,M0049,Kurabiye,Çikolatalı Kurabiye,6,25.92,155.52,Misafir,Kredi Kartı
2024-11-12,Beşiktaş,M0112,Kurabiye,Beyaz Çikolatalı,5,31.48,141.66,Üye,Nakit
2024-11-12,Kadıköy,M0185,Kek,Limonlu Kek,3,97.07,262.09,Üye,Yemek Kartı
2024-11-13,Kadıköy,M0046,Kurabiye,Çikolatalı Kurabiye,3,25.66,69.28,Üye,Banka Kartı
2024-11-13,Üsküdar,M0180,İçecek,Latte,2,87.94,175.88,Misafir,Banka Kartı
2024-11-13,Üsküdar,M0096,İçecek,Espresso,5,50.45,227.03,Üye,Yemek Kartı
2024-11-16,Kadıköy,M0041,İçecek,Filtre Kahve,3,53.88,145.48,Üye,Nakit
2024-11-16,Bakırköy,M0113,Pasta,Cheesecake,5,268.76,1343.8,Misafir,Yemek Kartı
2024-11-16,Şişli,M0055,Kurabiye,Yulaflı Kurabiye,2,19.81,35.66,Üye,Yemek Kartı
2024-11-17,Beşiktaş,M0024,İçecek,Sıcak Çikolata,1,72.44,65.2,Üye,Banka Kartı
2024-11-19,Üsküdar,M0158,Kek,Havuçlu Kek,3,108.99,294.27,Üye,Banka Kartı
2024-11-20,Beşiktaş,M0084,Dondurma,Vanilya Cone,5,46.38,208.71,Üye,Nakit
2024-11-20,Beşiktaş,M0117,Dondurma,Meyveli Bardak,5,69.23,346.15,Misafir,Yemek Kartı
2024-11-22,Şişli,M0074,Dondurma,Çikolatalı Top,1,51.49,51.49,Misafir,Kredi Kartı
2024-11-23,Beşiktaş,M0174,Pasta,Tiramisu,4,196.82,708.55,Üye,Nakit
2024-11-24,Bakırköy,M0070,İçecek,Filtre Kahve,2,54.42,97.96,Üye,Yemek Kartı
2024-11-25,Şişli,M0131,Kurabiye,Beyaz Çikolatalı,2,29.38,58.76,Misafir,Banka Kartı
2024-11-27,Beşiktaş,M0085,Kurabiye,Beyaz Çikolatalı,4,28.6,102.96,Üye,Yemek Kartı
2024-11-28,Üsküdar,M0195,Dondurma,Vanilya Cone,8,43.55,313.56,Üye,Kredi Kartı
2024-11-28,Beşiktaş,M0139,İçecek,Sıcak Çikolata,6,73.15,438.9,Misafir,Nakit
2024-11-28,Bakırköy,M0127,Pasta,Cheesecake,1,290.99,290.99,Misafir,Nakit
2024-12-01,Kadıköy,M0195,Kurabiye,Çikolatalı Kurabiye,3,24.81,66.99,Üye,Yemek Kartı
2024-12-03,Bakırköy,M0173,İçecek,Sıcak Çikolata,9,76.71,621.35,Üye,Nakit
2024-12-03,Şişli,M0166,Kurabiye,Beyaz Çikolatalı,4,29.99,119.96,Misafir,Nakit
2024-12-05,Beşiktaş,M0142,İçecek,Espresso,7,46.52,325.64,Misafir,Kredi Kartı
2024-12-05,Bakırköy,M0137,Kek,Limonlu Kek,6,114.55,687.3,Misafir,Banka Kartı
2024-12-08,Üsküdar,M0085,Kurabiye,Beyaz Çikolatalı,4,25.81,103.24,Misafir,Yemek Kartı
2024-12-08,Beşiktaş,M0002,Kurabiye,Çikolatalı Kurabiye,8,22.87,164.66,Üye,Banka Kartı
2024-12-09,Beşiktaş,M0074,Dondurma,Çikolatalı Top,7,51.18,322.43,Üye,Banka Kartı
2024-12-10,Şişli,M0122,Kurabiye,Çikolatalı Kurabiye,3,21.37,57.7,Üye,Nakit
2024-12-10,Beşiktaş,M0153,Dondurma,Meyveli Bardak,5,70.65,317.93,Üye,Yemek Kartı
2024-12-11,Üsküdar,M0121,Kek,Havuçlu Kek,5,115.83,521.24,Üye,Yemek Kartı
2024-12-14,Üsküdar,M0016,Pasta,Mille Feuille,6,155.81,841.37,Üye,Kredi Kartı
2024-12-16,Bakırköy,M0184,Dondurma,Meyveli Bardak,3,70.86,191.32,Üye,Yemek Kartı
2024-12-19,Bakırköy,M0104,Dondurma,Çikolatalı Top,1,43.43,39.09,Üye,Kredi Kartı
2024-12-19,Şişli,M0135,Pasta,Mille Feuille,2,161.76,323.52,Misafir,Nakit
2024-12-19,Beşiktaş,M0040,İçecek,Espresso,5,52.07,260.35,Misafir,Yemek Kartı
2024-12-20,Kadıköy,M0176,Pasta,Yaş Pasta,8,318.98,2551.84,Misafir,Banka Kartı
2024-12-21,Kadıköy,M0027,Dondurma,Vanilya Cone,4,41.7,150.12,Üye,Banka Kartı
2024-12-23,Bakırköy,M0027,İçecek,Espresso,5,52.07,260.35,Misafir,Nakit
2024-12-23,Kadıköy,M0123,Dondurma,Vanilya Cone,1,43.42,43.42,Misafir,Yemek Kartı
2024-12-25,Bakırköy,M0109,Pasta,Cheesecake,5,282.12,1269.54,Üye,Nakit
2024-12-26,Bakırköy,M0052,Kurabiye,Beyaz Çikolatalı,5,29.66,148.3,Misafir,Nakit
2024-12-26,Beşiktaş,M0118,Kek,Havuçlu Kek,3,110.78,299.11,Üye,Nakit
2024-12-26,Üsküdar,M0092,Pasta,Cheesecake,6,246.31,1330.07,Üye,Yemek Kartı
2024-12-27,Kadıköy,M0107,Pasta,Mille Feuille,7,164.91,1154.37,Misafir,Nakit
2024-12-27,Bakırköy,M0066,Dondurma,Meyveli Bardak,1,72.18,64.96,Üye,Kredi Kartı
2024-12-28,Bakırköy,M0160,Pasta,Cheesecake,6,262.15,1572.9,Misafir,Banka Kartı
2024-12-28,Kadıköy,M0173,Dondurma,Çikolatalı Top,2,50.69,101.38,Misafir,Yemek Kartı
2024-12-28,Kadıköy,M0043,Pasta,Cheesecake,8,291.37,2330.96,Misafir,Banka Kartı
2024-12-29,Bakırköy,M0159,İçecek,Filtre Kahve,2,62.59,112.66,Üye,Yemek Kartı
2024-12-29,Beşiktaş,M0183,Kek,Çikolatalı Kek,5,133.67,601.51,Üye,Kredi Kartı
2024-12-30,Bakırköy,M0174,Pasta,Tiramisu,3,211.81,635.43,Misafir,Banka Kartı
